pH,Antibiotic,Concentration,Timepoint,OD,DateExptStarted,Strain,MeasuredpH
Acidic,Gentamicin,800,24,0.2496,Rep2,FLR19,
Acidic,Gentamicin,0,48,0.7717,Rep2,FLR19,
Acidic,Gentamicin,0,48,0.7181,Rep2,FLR19,
Acidic,Gentamicin,0,48,0.762,Rep2,FLR19,
Acidic,Gentamicin,200,48,0.4589,Rep2,FLR19,
Acidic,Gentamicin,200,48,0.4418,Rep2,FLR19,
Acidic,Gentamicin,200,48,0.478,Rep2,FLR19,
Acidic,Gentamicin,400,48,0.3901,Rep2,FLR19,
Acidic,Gentamicin,400,48,0.3425,Rep2,FLR19,
Acidic,Gentamicin,400,48,0.3997,Rep2,FLR19,
Acidic,Gentamicin,800,48,0.3127,Rep2,FLR19,
Acidic,Gentamicin,800,48,0.2643,Rep2,FLR19,
Acidic,Gentamicin,800,48,0.3181,Rep2,FLR19,
Neutral,Gentamicin,0,24,0.6507,Rep1,FLR19,
Neutral,Gentamicin,0,24,0.6729,Rep1,FLR19,
Neutral,Gentamicin,0,24,0.6878,Rep1,FLR19,
Neutral,Gentamicin,200,24,0.2894,Rep1,FLR19,
Neutral,Gentamicin,200,24,0.2808,Rep1,FLR19,
Neutral,Gentamicin,200,24,0.2853,Rep1,FLR19,
Neutral,Gentamicin,400,24,0.1812,Rep1,FLR19,
Neutral,Gentamicin,400,24,0.177,Rep1,FLR19,
Neutral,Gentamicin,400,24,0.168,Rep1,FLR19,
Neutral,Gentamicin,800,24,0.1704,Rep1,FLR19,
Neutral,Gentamicin,800,24,0.1548,Rep1,FLR19,
Neutral,Gentamicin,800,24,0.1444,Rep1,FLR19,
Neutral,Gentamicin,0,48,1.2393,Rep1,FLR19,
Neutral,Gentamicin,0,48,1.2597,Rep1,FLR19,
Neutral,Gentamicin,0,48,1.2918,Rep1,FLR19,
Neutral,Gentamicin,200,48,0.4893,Rep1,FLR19,
Neutral,Gentamicin,200,48,0.4796,Rep1,FLR19,
Neutral,Gentamicin,200,48,0.4604,Rep1,FLR19,
Neutral,Gentamicin,400,48,0.228,Rep1,FLR19,
Neutral,Gentamicin,400,48,0.2195,Rep1,FLR19,
Neutral,Gentamicin,400,48,0.2022,Rep1,FLR19,
Neutral,Gentamicin,800,48,0.2342,Rep1,FLR19,
Neutral,Gentamicin,800,48,0.2089,Rep1,FLR19,
Neutral,Gentamicin,800,48,0.1936,Rep1,FLR19,
Neutral,Gentamicin,0,24,0.4908,Rep2,FLR19,
Neutral,Gentamicin,0,24,0.4891,Rep2,FLR19,
Neutral,Gentamicin,0,24,0.452,Rep2,FLR19,
Neutral,Gentamicin,200,24,0.3956,Rep2,FLR19,
Neutral,Gentamicin,200,24,0.3903,Rep2,FLR19,
Neutral,Gentamicin,200,24,0.3853,Rep2,FLR19,
Neutral,Gentamicin,400,24,0.35,Rep2,FLR19,
Neutral,Gentamicin,400,24,0.3383,Rep2,FLR19,
Neutral,Gentamicin,400,24,0.3276,Rep2,FLR19,
Neutral,Gentamicin,800,24,0.2647,Rep2,FLR19,
Neutral,Gentamicin,800,24,0.2884,Rep2,FLR19,
Neutral,Gentamicin,800,24,0.2146,Rep2,FLR19,
Neutral,Gentamicin,0,48,0.6349,Rep2,FLR19,
Neutral,Gentamicin,0,48,0.5818,Rep2,FLR19,
Neutral,Gentamicin,0,48,0.6023,Rep2,FLR19,
Neutral,Gentamicin,200,48,0.3064,Rep2,FLR19,
Neutral,Gentamicin,200,48,0.2641,Rep2,FLR19,
Neutral,Gentamicin,200,48,0.2799,Rep2,FLR19,
Neutral,Gentamicin,400,48,0.2867,Rep2,FLR19,
Neutral,Gentamicin,400,48,0.2609,Rep2,FLR19,
Neutral,Gentamicin,400,48,0.2694,Rep2,FLR19,
Neutral,Gentamicin,800,48,0.253,Rep2,FLR19,
Neutral,Gentamicin,800,48,0.2299,Rep2,FLR19,
Neutral,Gentamicin,800,48,0.2235,Rep2,FLR19,
Basic,Gentamicin,0,24,0.5992,Rep1,FLR19,
Basic,Gentamicin,0,24,0.6335,Rep1,FLR19,
Basic,Gentamicin,0,24,0.6162,Rep1,FLR19,
Basic,Gentamicin,200,24,0.1347,Rep1,FLR19,
Basic,Gentamicin,200,24,0.1361,Rep1,FLR19,
Basic,Gentamicin,200,24,0.1269,Rep1,FLR19,
Basic,Gentamicin,400,24,0.1302,Rep1,FLR19,
Basic,Gentamicin,400,24,0.125,Rep1,FLR19,
Basic,Gentamicin,400,24,0.1342,Rep1,FLR19,
Basic,Gentamicin,800,24,0.1304,Rep1,FLR19,
Basic,Gentamicin,800,24,0.1256,Rep1,FLR19,
Basic,Gentamicin,800,24,0.125,Rep1,FLR19,
Basic,Gentamicin,0,48,1.1546,Rep1,FLR19,
Basic,Gentamicin,0,48,1.1737,Rep1,FLR19,
Basic,Gentamicin,0,48,1.1756,Rep1,FLR19,
Basic,Gentamicin,200,48,0.2647,Rep1,FLR19,
Basic,Gentamicin,200,48,0.2572,Rep1,FLR19,
Basic,Gentamicin,200,48,0.2948,Rep1,FLR19,
Basic,Gentamicin,400,48,0.1542,Rep1,FLR19,
Basic,Gentamicin,400,48,0.2311,Rep1,FLR19,
Basic,Gentamicin,400,48,0.3158,Rep1,FLR19,
Basic,Gentamicin,800,48,0.1512,Rep1,FLR19,
Basic,Gentamicin,800,48,0.2858,Rep1,FLR19,
Basic,Gentamicin,800,48,0.2833,Rep1,FLR19,
Basic,Gentamicin,0,24,0.4493,Rep2,FLR19,
Basic,Gentamicin,0,24,0.4613,Rep2,FLR19,
Basic,Gentamicin,0,24,0.448,Rep2,FLR19,
Basic,Gentamicin,200,24,0.1613,Rep2,FLR19,
Basic,Gentamicin,200,24,0.1653,Rep2,FLR19,
Basic,Gentamicin,200,24,0.1743,Rep2,FLR19,
Basic,Gentamicin,400,24,0.1414,Rep2,FLR19,
Basic,Gentamicin,400,24,0.1592,Rep2,FLR19,
Basic,Gentamicin,400,24,0.1479,Rep2,FLR19,
Basic,Gentamicin,800,24,0.1276,Rep2,FLR19,
Basic,Gentamicin,800,24,0.146,Rep2,FLR19,
Basic,Gentamicin,800,24,0.1347,Rep2,FLR19,
Basic,Gentamicin,0,48,0.5673,Rep2,FLR19,
Basic,Gentamicin,0,48,0.5001,Rep2,FLR19,
Basic,Gentamicin,0,48,0.5145,Rep2,FLR19,
Basic,Gentamicin,200,48,0.2475,Rep2,FLR19,
Basic,Gentamicin,200,48,0.2403,Rep2,FLR19,
Basic,Gentamicin,200,48,0.2324,Rep2,FLR19,
Basic,Gentamicin,400,48,0.2253,Rep2,FLR19,
Basic,Gentamicin,400,48,0.1973,Rep2,FLR19,
Basic,Gentamicin,400,48,0.2174,Rep2,FLR19,
Basic,Gentamicin,800,48,0.2053,Rep2,FLR19,
Basic,Gentamicin,800,48,0.1868,Rep2,FLR19,
Basic,Gentamicin,800,48,0.1886,Rep2,FLR19,
Acidic,Meropenem,0,0,0.1393,Rep1,FLR19,
Acidic,Meropenem,0,0,0.1388,Rep1,FLR19,
Acidic,Meropenem,0,0,0.1397,Rep1,FLR19,
Acidic,Meropenem,0,24,0.543,Rep1,FLR19,
Acidic,Meropenem,0,24,0.5376,Rep1,FLR19,
Acidic,Meropenem,0,24,0.5475,Rep1,FLR19,
Acidic,Meropenem,0,48,1.3233,Rep1,FLR19,
Acidic,Meropenem,0,48,1.3302,Rep1,FLR19,
Acidic,Meropenem,0,48,1.3401,Rep1,FLR19,
Acidic,Meropenem,64,0,0.1459,Rep1,FLR19,
Acidic,Meropenem,64,0,0.1419,Rep1,FLR19,
Acidic,Meropenem,64,0,0.1433,Rep1,FLR19,
Acidic,Meropenem,64,24,0.1766,Rep1,FLR19,
Acidic,Meropenem,64,24,0.1751,Rep1,FLR19,
Acidic,Meropenem,64,24,0.1715,Rep1,FLR19,
Acidic,Meropenem,64,48,0.7189,Rep1,FLR19,
Acidic,Meropenem,64,48,0.7916,Rep1,FLR19,
Acidic,Meropenem,64,48,0.7378,Rep1,FLR19,
Acidic,Meropenem,128,0,0.1426,Rep1,FLR19,
Acidic,Meropenem,128,0,0.1429,Rep1,FLR19,
Acidic,Meropenem,128,0,0.1458,Rep1,FLR19,
Acidic,Meropenem,128,24,0.1638,Rep1,FLR19,
Acidic,Meropenem,128,24,0.1576,Rep1,FLR19,
Acidic,Meropenem,128,24,0.1559,Rep1,FLR19,
Acidic,Meropenem,128,48,0.2843,Rep1,FLR19,
Acidic,Meropenem,128,48,0.286,Rep1,FLR19,
Acidic,Meropenem,128,48,0.3347,Rep1,FLR19,
Acidic,Meropenem,256,0,0.141,Rep1,FLR19,
Acidic,Meropenem,256,0,0.1516,Rep1,FLR19,
Acidic,Meropenem,256,0,0.1452,Rep1,FLR19,
Acidic,Meropenem,256,24,0.1638,Rep1,FLR19,
Acidic,Meropenem,256,24,0.1601,Rep1,FLR19,
Acidic,Meropenem,256,24,0.1531,Rep1,FLR19,
Acidic,Meropenem,256,48,0.1917,Rep1,FLR19,
Acidic,Meropenem,256,48,0.2101,Rep1,FLR19,
Acidic,Meropenem,256,48,0.2275,Rep1,FLR19,
Acidic,Meropenem,0,0,0.1498,Rep2,FLR19,
Acidic,Meropenem,0,0,0.1492,Rep2,FLR19,
Acidic,Meropenem,0,0,0.1485,Rep2,FLR19,
Acidic,Meropenem,0,24,0.4861,Rep2,FLR19,
Acidic,Meropenem,0,24,0.4731,Rep2,FLR19,
Acidic,Meropenem,0,24,0.4991,Rep2,FLR19,
Acidic,Meropenem,0,48,1.2604,Rep2,FLR19,
Acidic,Meropenem,0,48,1.2296,Rep2,FLR19,
Acidic,Meropenem,0,48,1.307,Rep2,FLR19,
Acidic,Meropenem,64,0,0.1554,Rep2,FLR19,
Acidic,Meropenem,64,0,0.1623,Rep2,FLR19,
Acidic,Meropenem,64,0,0.1521,Rep2,FLR19,
Acidic,Meropenem,64,24,0.1734,Rep2,FLR19,
Acidic,Meropenem,64,24,0.1755,Rep2,FLR19,
Acidic,Meropenem,64,24,0.1739,Rep2,FLR19,
Acidic,Meropenem,64,48,0.3774,Rep2,FLR19,
Acidic,Meropenem,64,48,0.4135,Rep2,FLR19,
Acidic,Meropenem,64,48,0.4033,Rep2,FLR19,
Acidic,Meropenem,128,0,0.1578,Rep2,FLR19,
Acidic,Meropenem,128,0,0.1515,Rep2,FLR19,
Acidic,Meropenem,128,0,0.1528,Rep2,FLR19,
Acidic,Meropenem,128,24,0.1626,Rep2,FLR19,
Acidic,Meropenem,128,24,0.1452,Rep2,FLR19,
Acidic,Meropenem,128,24,0.1644,Rep2,FLR19,
Acidic,Meropenem,128,48,0.2409,Rep2,FLR19,
Acidic,Meropenem,128,48,0.2697,Rep2,FLR19,
Acidic,Meropenem,128,48,0.293,Rep2,FLR19,
Acidic,Meropenem,256,0,0.1543,Rep2,FLR19,
Acidic,Meropenem,256,0,0.1564,Rep2,FLR19,
Acidic,Meropenem,256,0,0.1569,Rep2,FLR19,
Acidic,Meropenem,256,24,0.1541,Rep2,FLR19,
Acidic,Meropenem,256,24,0.1591,Rep2,FLR19,
Acidic,Meropenem,256,24,0.1489,Rep2,FLR19,
Acidic,Meropenem,256,48,0.1905,Rep2,FLR19,
Acidic,Meropenem,256,48,0.2056,Rep2,FLR19,
Acidic,Meropenem,256,48,0.2049,Rep2,FLR19,
Neutral,Meropenem,0,0,0.1466,Rep1,FLR19,
Neutral,Meropenem,0,0,0.1372,Rep1,FLR19,
Neutral,Meropenem,0,0,0.1438,Rep1,FLR19,
Neutral,Meropenem,0,24,0.6143,Rep1,FLR19,
Neutral,Meropenem,0,24,0.6088,Rep1,FLR19,
Neutral,Meropenem,0,24,0.6236,Rep1,FLR19,
Neutral,Meropenem,0,48,1.2551,Rep1,FLR19,
Neutral,Meropenem,0,48,1.2561,Rep1,FLR19,
Neutral,Meropenem,0,48,1.291,Rep1,FLR19,
Neutral,Meropenem,64,0,0.1317,Rep1,FLR19,
Neutral,Meropenem,64,0,0.1223,Rep1,FLR19,
Neutral,Meropenem,64,0,0.1283,Rep1,FLR19,
Neutral,Meropenem,64,24,0.4613,Rep1,FLR19,
Neutral,Meropenem,64,24,0.444,Rep1,FLR19,
Neutral,Meropenem,64,24,0.4632,Rep1,FLR19,
Neutral,Meropenem,64,48,1.1467,Rep1,FLR19,
Neutral,Meropenem,64,48,1.1807,Rep1,FLR19,
Neutral,Meropenem,64,48,1.1073,Rep1,FLR19,
Neutral,Meropenem,128,0,0.1417,Rep1,FLR19,
Neutral,Meropenem,128,0,0.1408,Rep1,FLR19,
Neutral,Meropenem,128,0,0.1391,Rep1,FLR19,
Neutral,Meropenem,128,24,0.4213,Rep1,FLR19,
Neutral,Meropenem,128,24,0.416,Rep1,FLR19,
Neutral,Meropenem,128,24,0.4144,Rep1,FLR19,
Neutral,Meropenem,128,48,1.1691,Rep1,FLR19,
Neutral,Meropenem,128,48,1.1701,Rep1,FLR19,
Neutral,Meropenem,128,48,1.2242,Rep1,FLR19,
Neutral,Meropenem,256,0,0.1387,Rep1,FLR19,
Neutral,Meropenem,256,0,0.1498,Rep1,FLR19,
Neutral,Meropenem,256,0,0.1408,Rep1,FLR19,
Neutral,Meropenem,256,24,0.2718,Rep1,FLR19,
Neutral,Meropenem,256,24,0.2798,Rep1,FLR19,
Neutral,Meropenem,256,24,0.292,Rep1,FLR19,
Neutral,Meropenem,256,48,0.9522,Rep1,FLR19,
Neutral,Meropenem,256,48,1.0374,Rep1,FLR19,
Neutral,Meropenem,256,48,1.0004,Rep1,FLR19,
Neutral,Meropenem,0,0,0.1549,Rep2,FLR19,
Neutral,Meropenem,0,0,0.1551,Rep2,FLR19,
Neutral,Meropenem,0,0,0.1529,Rep2,FLR19,
Neutral,Meropenem,0,24,0.5621,Rep2,FLR19,
Neutral,Meropenem,0,24,0.5781,Rep2,FLR19,
Neutral,Meropenem,0,24,0.579,Rep2,FLR19,
Neutral,Meropenem,0,48,1.1844,Rep2,FLR19,
Neutral,Meropenem,0,48,1.125,Rep2,FLR19,
Neutral,Meropenem,0,48,1.1649,Rep2,FLR19,
Neutral,Meropenem,64,0,0.1596,Rep2,FLR19,
Neutral,Meropenem,64,0,0.1574,Rep2,FLR19,
Neutral,Meropenem,64,0,0.1554,Rep2,FLR19,
Neutral,Meropenem,64,24,0.3379,Rep2,FLR19,
Neutral,Meropenem,64,24,0.3542,Rep2,FLR19,
Neutral,Meropenem,64,24,0.3175,Rep2,FLR19,
Neutral,Meropenem,64,48,0.8471,Rep2,FLR19,
Neutral,Meropenem,64,48,0.7878,Rep2,FLR19,
Neutral,Meropenem,64,48,0.8652,Rep2,FLR19,
Neutral,Meropenem,128,0,0.1543,Rep2,FLR19,
Neutral,Meropenem,128,0,0.1584,Rep2,FLR19,
Neutral,Meropenem,128,0,0.1627,Rep2,FLR19,
Neutral,Meropenem,128,24,0.2657,Rep2,FLR19,
Neutral,Meropenem,128,24,0.272,Rep2,FLR19,
Neutral,Meropenem,128,24,0.2648,Rep2,FLR19,
Neutral,Meropenem,128,48,0.6112,Rep2,FLR19,
Neutral,Meropenem,128,48,0.6357,Rep2,FLR19,
Neutral,Meropenem,128,48,0.6091,Rep2,FLR19,
Neutral,Meropenem,256,0,0.1691,Rep2,FLR19,
Neutral,Meropenem,256,0,0.156,Rep2,FLR19,
Neutral,Meropenem,256,0,0.1542,Rep2,FLR19,
Neutral,Meropenem,256,24,0.2314,Rep2,FLR19,
Neutral,Meropenem,256,24,0.2597,Rep2,FLR19,
Neutral,Meropenem,256,24,0.2398,Rep2,FLR19,
Neutral,Meropenem,256,48,0.513,Rep2,FLR19,
Neutral,Meropenem,256,48,0.4969,Rep2,FLR19,
Neutral,Meropenem,256,48,0.5336,Rep2,FLR19,
Basic,Meropenem,0,0,0.1513,Rep1,FLR19,
Basic,Meropenem,0,0,0.1412,Rep1,FLR19,
Basic,Meropenem,0,0,0.1397,Rep1,FLR19,
Basic,Meropenem,0,24,0.5709,Rep1,FLR19,
Basic,Meropenem,0,24,0.5588,Rep1,FLR19,
Basic,Meropenem,0,24,0.5679,Rep1,FLR19,
Basic,Meropenem,0,48,1.1676,Rep1,FLR19,
Basic,Meropenem,0,48,1.1756,Rep1,FLR19,
Basic,Meropenem,0,48,1.1922,Rep1,FLR19,
Basic,Meropenem,64,0,0.1443,Rep1,FLR19,
Basic,Meropenem,64,0,0.1455,Rep1,FLR19,
Basic,Meropenem,64,0,0.1438,Rep1,FLR19,
Basic,Meropenem,64,24,0.3297,Rep1,FLR19,
Basic,Meropenem,64,24,0.3417,Rep1,FLR19,
Basic,Meropenem,64,24,0.3443,Rep1,FLR19,
