pH,Antibiotic,Concentration,Timepoint,OD,DateExptStarted,Strain,Measured pH
Neutral,Tobramycin,16,48,1.57,Rep1,ZC2006,
Neutral,Tobramycin,32,48,1.557,Rep1,ZC2006,
Neutral,Tobramycin,32,48,1.539,Rep1,ZC2006,
Neutral,Tobramycin,32,48,1.568,Rep1,ZC2006,
Neutral,Tobramycin,64,48,1.566,Rep1,ZC2006,
Neutral,Tobramycin,64,48,1.545,Rep1,ZC2006,
Neutral,Tobramycin,64,48,1.564,Rep1,ZC2006,
Basic,Tobramycin,0,48,1.451,Rep1,ZC2006,
Basic,Tobramycin,0,48,1.441,Rep1,ZC2006,
Basic,Tobramycin,0,48,1.451,Rep1,ZC2006,
Basic,Tobramycin,16,48,1.438,Rep1,ZC2006,
Basic,Tobramycin,16,48,1.463,Rep1,ZC2006,
Basic,Tobramycin,16,48,1.438,Rep1,ZC2006,
Basic,Tobramycin,32,48,1.448,Rep1,ZC2006,
Basic,Tobramycin,32,48,1.442,Rep1,ZC2006,
Basic,Tobramycin,32,48,1.452,Rep1,ZC2006,
Basic,Tobramycin,64,48,1.492,Rep1,ZC2006,
Basic,Tobramycin,64,48,1.464,Rep1,ZC2006,
Basic,Tobramycin,64,48,1.448,Rep1,ZC2006,
Acidic,Tobramycin,0,24,0.678,Rep2,ZC2006,
Acidic,Tobramycin,0,24,0.677,Rep2,ZC2006,
Acidic,Tobramycin,0,24,0.665,Rep2,ZC2006,
Acidic,Tobramycin,16,24,0.819,Rep2,ZC2006,
Acidic,Tobramycin,16,24,0.829,Rep2,ZC2006,
Acidic,Tobramycin,16,24,0.82,Rep2,ZC2006,
Acidic,Tobramycin,32,24,0.846,Rep2,ZC2006,
Acidic,Tobramycin,32,24,0.823,Rep2,ZC2006,
Acidic,Tobramycin,32,24,0.827,Rep2,ZC2006,
Acidic,Tobramycin,64,24,0.864,Rep2,ZC2006,
Acidic,Tobramycin,64,24,0.826,Rep2,ZC2006,
Acidic,Tobramycin,64,24,0.878,Rep2,ZC2006,
Neutral,Tobramycin,0,24,1.324,Rep2,ZC2006,
Neutral,Tobramycin,0,24,1.374,Rep2,ZC2006,
Neutral,Tobramycin,0,24,1.23,Rep2,ZC2006,
Neutral,Tobramycin,16,24,1.284,Rep2,ZC2006,
Neutral,Tobramycin,16,24,1.337,Rep2,ZC2006,
Neutral,Tobramycin,16,24,1.302,Rep2,ZC2006,
Neutral,Tobramycin,32,24,1.287,Rep2,ZC2006,
Neutral,Tobramycin,32,24,1.336,Rep2,ZC2006,
Neutral,Tobramycin,32,24,1.121,Rep2,ZC2006,
Neutral,Tobramycin,64,24,1.289,Rep2,ZC2006,
Neutral,Tobramycin,64,24,1.3,Rep2,ZC2006,
Neutral,Tobramycin,64,24,1.283,Rep2,ZC2006,
Basic,Tobramycin,0,24,1.355,Rep2,ZC2006,
Basic,Tobramycin,0,24,1.367,Rep2,ZC2006,
Basic,Tobramycin,0,24,1.347,Rep2,ZC2006,
Basic,Tobramycin,16,24,1.351,Rep2,ZC2006,
Basic,Tobramycin,16,24,1.385,Rep2,ZC2006,
Basic,Tobramycin,16,24,1.338,Rep2,ZC2006,
Basic,Tobramycin,32,24,1.323,Rep2,ZC2006,
Basic,Tobramycin,32,24,1.309,Rep2,ZC2006,
Basic,Tobramycin,32,24,1.348,Rep2,ZC2006,
Basic,Tobramycin,64,24,1.32,Rep2,ZC2006,
Basic,Tobramycin,64,24,1.309,Rep2,ZC2006,
Basic,Tobramycin,64,24,1.347,Rep2,ZC2006,
Acidic,Tobramycin,0,24,0.699,Rep1,ZC2006,
Acidic,Tobramycin,0,24,0.703,Rep1,ZC2006,
Acidic,Tobramycin,0,24,0.719,Rep1,ZC2006,
Acidic,Tobramycin,16,24,0.843,Rep1,ZC2006,
Acidic,Tobramycin,16,24,0.807,Rep1,ZC2006,
Acidic,Tobramycin,16,24,0.781,Rep1,ZC2006,
Acidic,Tobramycin,32,24,0.846,Rep1,ZC2006,
Acidic,Tobramycin,32,24,0.792,Rep1,ZC2006,
Acidic,Tobramycin,32,24,0.771,Rep1,ZC2006,
Acidic,Tobramycin,64,24,0.776,Rep1,ZC2006,
Acidic,Tobramycin,64,24,0.759,Rep1,ZC2006,
Acidic,Tobramycin,64,24,0.765,Rep1,ZC2006,
Neutral,Tobramycin,0,24,1.202,Rep1,ZC2006,
Neutral,Tobramycin,0,24,1.187,Rep1,ZC2006,
Neutral,Tobramycin,0,24,1.203,Rep1,ZC2006,
Neutral,Tobramycin,16,24,1.183,Rep1,ZC2006,
Neutral,Tobramycin,16,24,1.196,Rep1,ZC2006,
Neutral,Tobramycin,16,24,1.195,Rep1,ZC2006,
Neutral,Tobramycin,32,24,1.154,Rep1,ZC2006,
Neutral,Tobramycin,32,24,1.165,Rep1,ZC2006,
Neutral,Tobramycin,32,24,1.157,Rep1,ZC2006,
Neutral,Tobramycin,64,24,1.166,Rep1,ZC2006,
Neutral,Tobramycin,64,24,1.174,Rep1,ZC2006,
Neutral,Tobramycin,64,24,1.151,Rep1,ZC2006,
Basic,Tobramycin,0,24,1.018,Rep1,ZC2006,
Basic,Tobramycin,0,24,1.028,Rep1,ZC2006,
Basic,Tobramycin,0,24,1.031,Rep1,ZC2006,
Basic,Tobramycin,16,24,1.023,Rep1,ZC2006,
Basic,Tobramycin,16,24,1.056,Rep1,ZC2006,
Basic,Tobramycin,16,24,1.042,Rep1,ZC2006,
Basic,Tobramycin,32,24,1.021,Rep1,ZC2006,
Basic,Tobramycin,32,24,1.034,Rep1,ZC2006,
Basic,Tobramycin,32,24,1.04,Rep1,ZC2006,
Basic,Tobramycin,64,24,1,Rep1,ZC2006,
Basic,Tobramycin,64,24,0.995,Rep1,ZC2006,
Basic,Tobramycin,64,24,1.02,Rep1,ZC2006,
Acidic,Tobramycin,0,0,0.157,Rep2,ZC2006,
Acidic,Tobramycin,0,0,0.155,Rep2,ZC2006,
Acidic,Tobramycin,0,0,0.157,Rep2,ZC2006,
Acidic,Tobramycin,16,0,0.155,Rep2,ZC2006,
Acidic,Tobramycin,16,0,0.155,Rep2,ZC2006,
Acidic,Tobramycin,16,0,0.155,Rep2,ZC2006,
Acidic,Tobramycin,32,0,0.151,Rep2,ZC2006,
Acidic,Tobramycin,32,0,0.154,Rep2,ZC2006,
Acidic,Tobramycin,32,0,0.154,Rep2,ZC2006,
Acidic,Tobramycin,64,0,0.153,Rep2,ZC2006,
Acidic,Tobramycin,64,0,0.158,Rep2,ZC2006,
Acidic,Tobramycin,64,0,0.156,Rep2,ZC2006,
Neutral,Tobramycin,0,0,0.163,Rep2,ZC2006,
Neutral,Tobramycin,0,0,0.166,Rep2,ZC2006,
Neutral,Tobramycin,0,0,0.167,Rep2,ZC2006,
Neutral,Tobramycin,16,0,0.165,Rep2,ZC2006,
Neutral,Tobramycin,16,0,0.168,Rep2,ZC2006,
Neutral,Tobramycin,16,0,0.166,Rep2,ZC2006,
Neutral,Tobramycin,32,0,0.165,Rep2,ZC2006,
Neutral,Tobramycin,32,0,0.167,Rep2,ZC2006,
Neutral,Tobramycin,32,0,0.165,Rep2,ZC2006,
Neutral,Tobramycin,64,0,0.165,Rep2,ZC2006,
Neutral,Tobramycin,64,0,0.166,Rep2,ZC2006,
Neutral,Tobramycin,64,0,0.165,Rep2,ZC2006,
Basic,Tobramycin,0,0,0.16,Rep2,ZC2006,
Basic,Tobramycin,0,0,0.162,Rep2,ZC2006,
Basic,Tobramycin,0,0,0.161,Rep2,ZC2006,
Basic,Tobramycin,16,0,0.158,Rep2,ZC2006,
Basic,Tobramycin,16,0,0.162,Rep2,ZC2006,
Basic,Tobramycin,16,0,0.161,Rep2,ZC2006,
Basic,Tobramycin,32,0,0.158,Rep2,ZC2006,
Basic,Tobramycin,32,0,0.162,Rep2,ZC2006,
Basic,Tobramycin,32,0,0.159,Rep2,ZC2006,
Basic,Tobramycin,64,0,0.161,Rep2,ZC2006,
Basic,Tobramycin,64,0,0.16,Rep2,ZC2006,
Basic,Tobramycin,64,0,0.162,Rep2,ZC2006,
Acidic,Tobramycin,0,0,0.156,Rep1,ZC2006,
Acidic,Tobramycin,0,0,0.155,Rep1,ZC2006,
Acidic,Tobramycin,0,0,0.156,Rep1,ZC2006,
Acidic,Tobramycin,16,0,0.154,Rep1,ZC2006,
Acidic,Tobramycin,16,0,0.159,Rep1,ZC2006,
Acidic,Tobramycin,16,0,0.157,Rep1,ZC2006,
Acidic,Tobramycin,32,0,0.161,Rep1,ZC2006,
Acidic,Tobramycin,32,0,0.161,Rep1,ZC2006,
Acidic,Tobramycin,32,0,0.163,Rep1,ZC2006,
Acidic,Tobramycin,64,0,0.153,Rep1,ZC2006,
Acidic,Tobramycin,64,0,0.167,Rep1,ZC2006,
Acidic,Tobramycin,64,0,0.154,Rep1,ZC2006,
Neutral,Tobramycin,0,0,0.156,Rep1,ZC2006,
Neutral,Tobramycin,0,0,0.159,Rep1,ZC2006,
Neutral,Tobramycin,0,0,0.156,Rep1,ZC2006,
Neutral,Tobramycin,16,0,0.155,Rep1,ZC2006,
Neutral,Tobramycin,16,0,0.156,Rep1,ZC2006,
Neutral,Tobramycin,16,0,0.157,Rep1,ZC2006,
Neutral,Tobramycin,32,0,0.156,Rep1,ZC2006,
Neutral,Tobramycin,32,0,0.156,Rep1,ZC2006,
Neutral,Tobramycin,32,0,0.157,Rep1,ZC2006,
Neutral,Tobramycin,64,0,0.161,Rep1,ZC2006,
Neutral,Tobramycin,64,0,0.155,Rep1,ZC2006,
Neutral,Tobramycin,64,0,0.156,Rep1,ZC2006,
Basic,Tobramycin,0,0,0.155,Rep1,ZC2006,
Basic,Tobramycin,0,0,0.155,Rep1,ZC2006,
Basic,Tobramycin,0,0,0.156,Rep1,ZC2006,
Basic,Tobramycin,16,0,0.155,Rep1,ZC2006,
Basic,Tobramycin,16,0,0.156,Rep1,ZC2006,
Basic,Tobramycin,16,0,0.155,Rep1,ZC2006,
Basic,Tobramycin,32,0,0.156,Rep1,ZC2006,
Basic,Tobramycin,32,0,0.159,Rep1,ZC2006,
Basic,Tobramycin,32,0,0.161,Rep1,ZC2006,
Basic,Tobramycin,64,0,0.155,Rep1,ZC2006,
Basic,Tobramycin,64,0,0.156,Rep1,ZC2006,
Basic,Tobramycin,64,0,0.157,Rep1,ZC2006,
Acidic,Meropenem,0,48,1.507,Rep2,ZC2006,
Acidic,Meropenem,0,48,1.452,Rep2,ZC2006,
Acidic,Meropenem,0,48,1.411,Rep2,ZC2006,
Acidic,Meropenem,64,48,0.989,Rep2,ZC2006,
Acidic,Meropenem,64,48,0.995,Rep2,ZC2006,
Acidic,Meropenem,64,48,0.975,Rep2,ZC2006,
Acidic,Meropenem,128,48,0.607,Rep2,ZC2006,
Acidic,Meropenem,128,48,0.629,Rep2,ZC2006,
Acidic,Meropenem,128,48,0.542,Rep2,ZC2006,
Acidic,Meropenem,256,48,0.385,Rep2,ZC2006,
Acidic,Meropenem,256,48,0.366,Rep2,ZC2006,
Acidic,Meropenem,256,48,0.404,Rep2,ZC2006,
Neutral,Meropenem,0,48,1.551,Rep2,ZC2006,
Neutral,Meropenem,0,48,1.522,Rep2,ZC2006,
Neutral,Meropenem,0,48,1.525,Rep2,ZC2006,
Neutral,Meropenem,64,48,1.519,Rep2,ZC2006,
Neutral,Meropenem,64,48,1.505,Rep2,ZC2006,
Neutral,Meropenem,64,48,1.524,Rep2,ZC2006,
Neutral,Meropenem,128,48,1.483,Rep2,ZC2006,
Neutral,Meropenem,128,48,1.479,Rep2,ZC2006,
Neutral,Meropenem,128,48,1.514,Rep2,ZC2006,
Neutral,Meropenem,256,48,1.425,Rep2,ZC2006,
Neutral,Meropenem,256,48,1.379,Rep2,ZC2006,
Neutral,Meropenem,256,48,1.379,Rep2,ZC2006,
Basic,Meropenem,0,48,1.444,Rep2,ZC2006,
Basic,Meropenem,0,48,1.457,Rep2,ZC2006,
Basic,Meropenem,0,48,1.429,Rep2,ZC2006,
Basic,Meropenem,64,48,1.485,Rep2,ZC2006,
Basic,Meropenem,64,48,1.543,Rep2,ZC2006,
Basic,Meropenem,64,48,1.509,Rep2,ZC2006,
Basic,Meropenem,128,48,1.441,Rep2,ZC2006,
Basic,Meropenem,128,48,1.486,Rep2,ZC2006,
Basic,Meropenem,128,48,1.486,Rep2,ZC2006,
Basic,Meropenem,256,48,1.434,Rep2,ZC2006,
Basic,Meropenem,256,48,1.415,Rep2,ZC2006,
Basic,Meropenem,256,48,1.452,Rep2,ZC2006,
Acidic,Meropenem,0,48,1.438,Rep1,ZC2006,
Acidic,Meropenem,0,48,1.422,Rep1,ZC2006,
Acidic,Meropenem,0,48,1.424,Rep1,ZC2006,
Acidic,Meropenem,64,48,1.171,Rep1,ZC2006,
Acidic,Meropenem,64,48,1.179,Rep1,ZC2006,
Acidic,Meropenem,64,48,1.137,Rep1,ZC2006,
Acidic,Meropenem,128,48,0.749,Rep1,ZC2006,
Acidic,Meropenem,128,48,0.717,Rep1,ZC2006,
Acidic,Meropenem,128,48,0.688,Rep1,ZC2006,
Acidic,Meropenem,256,48,0.322,Rep1,ZC2006,
Acidic,Meropenem,256,48,0.32,Rep1,ZC2006,
Acidic,Meropenem,256,48,0.341,Rep1,ZC2006,
Neutral,Meropenem,0,48,1.525,Rep1,ZC2006,
Neutral,Meropenem,0,48,1.536,Rep1,ZC2006,
Neutral,Meropenem,0,48,1.549,Rep1,ZC2006,
Neutral,Meropenem,64,48,1.567,Rep1,ZC2006,
Neutral,Meropenem,64,48,1.587,Rep1,ZC2006,
Neutral,Meropenem,64,48,1.595,Rep1,ZC2006,
Neutral,Meropenem,128,48,1.555,Rep1,ZC2006,
Neutral,Meropenem,128,48,1.53,Rep1,ZC2006,
Neutral,Meropenem,128,48,1.558,Rep1,ZC2006,
Neutral,Meropenem,256,48,1.497,Rep1,ZC2006,
Neutral,Meropenem,256,48,1.486,Rep1,ZC2006,
Neutral,Meropenem,256,48,1.512,Rep1,ZC2006,
Basic,Meropenem,0,48,1.421,Rep1,ZC2006,
Basic,Meropenem,0,48,1.412,Rep1,ZC2006,
Basic,Meropenem,0,48,1.437,Rep1,ZC2006,
Basic,Meropenem,64,48,1.464,Rep1,ZC2006,
Basic,Meropenem,64,48,1.476,Rep1,ZC2006,
Basic,Meropenem,64,48,1.52,Rep1,ZC2006,
Basic,Meropenem,128,48,1.441,Rep1,ZC2006,
Basic,Meropenem,128,48,1.479,Rep1,ZC2006,
Basic,Meropenem,128,48,1.44,Rep1,ZC2006,
Basic,Meropenem,256,48,1.479,Rep1,ZC2006,
Basic,Meropenem,256,48,1.463,Rep1,ZC2006,
Basic,Meropenem,256,48,1.467,Rep1,ZC2006,
Acidic,Meropenem,0,24,0.887,Rep2,ZC2006,
Acidic,Meropenem,0,24,0.857,Rep2,ZC2006,
Acidic,Meropenem,0,24,0.875,Rep2,ZC2006,
Acidic,Meropenem,64,24,0.332,Rep2,ZC2006,
Acidic,Meropenem,64,24,0.341,Rep2,ZC2006,
Acidic,Meropenem,64,24,0.353,Rep2,ZC2006,
Acidic,Meropenem,128,24,0.264,Rep2,ZC2006,
Acidic,Meropenem,128,24,0.281,Rep2,ZC2006,
Acidic,Meropenem,128,24,0.293,Rep2,ZC2006,
Acidic,Meropenem,256,24,0.268,Rep2,ZC2006,
Acidic,Meropenem,256,24,0.26,Rep2,ZC2006,
Acidic,Meropenem,256,24,0.3,Rep2,ZC2006,
Neutral,Meropenem,0,24,1.297,Rep2,ZC2006,
Neutral,Meropenem,0,24,1.254,Rep2,ZC2006,
Neutral,Meropenem,0,24,1.265,Rep2,ZC2006,
Neutral,Meropenem,64,24,1.197,Rep2,ZC2006,
Neutral,Meropenem,64,24,1.243,Rep2,ZC2006,
Neutral,Meropenem,64,24,1.207,Rep2,ZC2006,
Neutral,Meropenem,128,24,1.095,Rep2,ZC2006,
Neutral,Meropenem,128,24,1.127,Rep2,ZC2006,
Neutral,Meropenem,128,24,1.087,Rep2,ZC2006,
Neutral,Meropenem,256,24,0.931,Rep2,ZC2006,
Neutral,Meropenem,256,24,0.973,Rep2,ZC2006,
Neutral,Meropenem,256,24,0.923,Rep2,ZC2006,
Basic,Meropenem,0,24,1.144,Rep2,ZC2006,
Basic,Meropenem,0,24,1.154,Rep2,ZC2006,
Basic,Meropenem,0,24,1.122,Rep2,ZC2006,
Basic,Meropenem,64,24,1.263,Rep2,ZC2006,
Basic,Meropenem,64,24,1.291,Rep2,ZC2006,
Basic,Meropenem,64,24,1.27,Rep2,ZC2006,
Basic,Meropenem,128,24,1.106,Rep2,ZC2006,
Basic,Meropenem,128,24,1.164,Rep2,ZC2006,
Basic,Meropenem,128,24,1.138,Rep2,ZC2006,
Basic,Meropenem,256,24,0.961,Rep2,ZC2006,
Basic,Meropenem,256,24,0.979,Rep2,ZC2006,
Basic,Meropenem,256,24,1.011,Rep2,ZC2006,
Acidic,Meropenem,0,24,0.721,Rep1,ZC2006,
Acidic,Meropenem,0,24,0.713,Rep1,ZC2006,
Acidic,Meropenem,0,24,0.715,Rep1,ZC2006,
Acidic,Meropenem,64,24,0.411,Rep1,ZC2006,
Acidic,Meropenem,64,24,0.457,Rep1,ZC2006,
Acidic,Meropenem,64,24,0.413,Rep1,ZC2006,
Acidic,Meropenem,128,24,0.284,Rep1,ZC2006,
Acidic,Meropenem,128,24,0.277,Rep1,ZC2006,
Acidic,Meropenem,128,24,0.26,Rep1,ZC2006,
Acidic,Meropenem,256,24,0.237,Rep1,ZC2006,
Acidic,Meropenem,256,24,0.239,Rep1,ZC2006,
Acidic,Meropenem,256,24,0.251,Rep1,ZC2006,
Neutral,Meropenem,0,24,1.184,Rep1,ZC2006,
Neutral,Meropenem,0,24,1.188,Rep1,ZC2006,
Neutral,Meropenem,0,24,1.194,Rep1,ZC2006,
Neutral,Meropenem,64,24,1.319,Rep1,ZC2006,
Neutral,Meropenem,64,24,1.336,Rep1,ZC2006,
Neutral,Meropenem,64,24,1.328,Rep1,ZC2006,
Neutral,Meropenem,128,24,1.187,Rep1,ZC2006,
Neutral,Meropenem,128,24,1.207,Rep1,ZC2006,
Neutral,Meropenem,128,24,1.23,Rep1,ZC2006,
Neutral,Meropenem,256,24,1.102,Rep1,ZC2006,
Neutral,Meropenem,256,24,1.115,Rep1,ZC2006,
Neutral,Meropenem,256,24,1.112,Rep1,ZC2006,
Basic,Meropenem,0,24,1.056,Rep1,ZC2006,
Basic,Meropenem,0,24,1.035,Rep1,ZC2006,
Basic,Meropenem,0,24,1.05,Rep1,ZC2006,
Basic,Meropenem,64,24,1.232,Rep1,ZC2006,
Basic,Meropenem,64,24,1.236,Rep1,ZC2006,
Basic,Meropenem,64,24,1.248,Rep1,ZC2006,
Basic,Meropenem,128,24,1.185,Rep1,ZC2006,
Basic,Meropenem,128,24,1.187,Rep1,ZC2006,
Basic,Meropenem,128,24,1.182,Rep1,ZC2006,
Basic,Meropenem,256,24,1.216,Rep1,ZC2006,
Basic,Meropenem,256,24,1.196,Rep1,ZC2006,
Basic,Meropenem,256,24,1.157,Rep1,ZC2006,
Acidic,Meropenem,0,0,0.172,Rep2,ZC2006,
Acidic,Meropenem,0,0,0.168,Rep2,ZC2006,
Acidic,Meropenem,0,0,0.167,Rep2,ZC2006,
Acidic,Meropenem,64,0,0.175,Rep2,ZC2006,
Acidic,Meropenem,64,0,0.173,Rep2,ZC2006,
Acidic,Meropenem,64,0,0.172,Rep2,ZC2006,
Acidic,Meropenem,128,0,0.177,Rep2,ZC2006,
Acidic,Meropenem,128,0,0.176,Rep2,ZC2006,
Acidic,Meropenem,128,0,0.173,Rep2,ZC2006,
Acidic,Meropenem,256,0,0.176,Rep2,ZC2006,
Acidic,Meropenem,256,0,0.176,Rep2,ZC2006,
Acidic,Meropenem,256,0,0.173,Rep2,ZC2006,
Neutral,Meropenem,0,0,0.185,Rep2,ZC2006,
Neutral,Meropenem,0,0,0.181,Rep2,ZC2006,
Neutral,Meropenem,0,0,0.182,Rep2,ZC2006,
Neutral,Meropenem,64,0,0.184,Rep2,ZC2006,
Neutral,Meropenem,64,0,0.188,Rep2,ZC2006,
Neutral,Meropenem,64,0,0.186,Rep2,ZC2006,
Neutral,Meropenem,128,0,0.186,Rep2,ZC2006,
Neutral,Meropenem,128,0,0.19,Rep2,ZC2006,
Neutral,Meropenem,128,0,0.184,Rep2,ZC2006,
Neutral,Meropenem,256,0,0.186,Rep2,ZC2006,
Neutral,Meropenem,256,0,0.19,Rep2,ZC2006,
Neutral,Meropenem,256,0,0.184,Rep2,ZC2006,
Basic,Meropenem,0,0,0.179,Rep2,ZC2006,
Basic,Meropenem,0,0,0.18,Rep2,ZC2006,
Basic,Meropenem,0,0,0.176,Rep2,ZC2006,
Basic,Meropenem,64,0,0.185,Rep2,ZC2006,
Basic,Meropenem,64,0,0.193,Rep2,ZC2006,
Basic,Meropenem,64,0,0.179,Rep2,ZC2006,
Basic,Meropenem,128,0,0.185,Rep2,ZC2006,
Basic,Meropenem,128,0,0.188,Rep2,ZC2006,
Basic,Meropenem,128,0,0.187,Rep2,ZC2006,
Basic,Meropenem,256,0,0.18,Rep2,ZC2006,
Basic,Meropenem,256,0,0.181,Rep2,ZC2006,
Basic,Meropenem,256,0,0.179,Rep2,ZC2006,
Acidic,Meropenem,0,0,0.151,Rep1,ZC2006,
Acidic,Meropenem,0,0,0.149,Rep1,ZC2006,
Acidic,Meropenem,0,0,0.149,Rep1,ZC2006,
Acidic,Meropenem,64,0,0.151,Rep1,ZC2006,
Acidic,Meropenem,64,0,0.151,Rep1,ZC2006,
Acidic,Meropenem,64,0,0.15,Rep1,ZC2006,
Acidic,Meropenem,128,0,0.153,Rep1,ZC2006,
Acidic,Meropenem,128,0,0.151,Rep1,ZC2006,
Acidic,Meropenem,128,0,0.15,Rep1,ZC2006,
Acidic,Meropenem,256,0,0.147,Rep1,ZC2006,
Acidic,Meropenem,256,0,0.146,Rep1,ZC2006,
Acidic,Meropenem,256,0,0.15,Rep1,ZC2006,
Neutral,Meropenem,0,0,0.153,Rep1,ZC2006,
Neutral,Meropenem,0,0,0.153,Rep1,ZC2006,
Neutral,Meropenem,0,0,0.154,Rep1,ZC2006,
Neutral,Meropenem,64,0,0.158,Rep1,ZC2006,
Neutral,Meropenem,64,0,0.158,Rep1,ZC2006,
Neutral,Meropenem,64,0,0.157,Rep1,ZC2006,
Neutral,Meropenem,128,0,0.157,Rep1,ZC2006,
Neutral,Meropenem,128,0,0.158,Rep1,ZC2006,
Neutral,Meropenem,128,0,0.156,Rep1,ZC2006,
Neutral,Meropenem,256,0,0.159,Rep1,ZC2006,
Neutral,Meropenem,256,0,0.158,Rep1,ZC2006,
Neutral,Meropenem,256,0,0.156,Rep1,ZC2006,
Basic,Meropenem,0,0,0.154,Rep1,ZC2006,
Basic,Meropenem,0,0,0.155,Rep1,ZC2006,
Basic,Meropenem,0,0,0.154,Rep1,ZC2006,
Basic,Meropenem,64,0,0.157,Rep1,ZC2006,
Basic,Meropenem,64,0,0.158,Rep1,ZC2006,
Basic,Meropenem,64,0,0.157,Rep1,ZC2006,
Basic,Meropenem,128,0,0.161,Rep1,ZC2006,
Basic,Meropenem,128,0,0.159,Rep1,ZC2006,
Basic,Meropenem,128,0,0.156,Rep1,ZC2006,
Basic,Meropenem,256,0,0.164,Rep1,ZC2006,
Basic,Meropenem,256,0,0.165,Rep1,ZC2006,
Basic,Meropenem,256,0,0.158,Rep1,ZC2006,
Acidic,Gentamicin,0,48,1.518,Rep1,ZC2006,
Acidic,Gentamicin,0,48,1.496,Rep1,ZC2006,
Acidic,Gentamicin,0,48,1.511,Rep1,ZC2006,
Acidic,Gentamicin,200,48,1.399,Rep1,ZC2006,
Acidic,Gentamicin,200,48,1.424,Rep1,ZC2006,
Acidic,Gentamicin,200,48,1.383,Rep1,ZC2006,
Acidic,Gentamicin,400,48,1.363,Rep1,ZC2006,
Acidic,Gentamicin,400,48,1.362,Rep1,ZC2006,
Acidic,Gentamicin,400,48,1.339,Rep1,ZC2006,
Acidic,Gentamicin,800,48,1.3,Rep1,ZC2006,
Acidic,Gentamicin,800,48,1.293,Rep1,ZC2006,
Acidic,Gentamicin,800,48,1.267,Rep1,ZC2006,
Neutral,Gentamicin,0,48,1.577,Rep1,ZC2006,
Neutral,Gentamicin,0,48,1.566,Rep1,ZC2006,
